Song_Name,Song_Lyrics,Album_Name,Album_Year,Negative,Neutral,Positive,Compound
Leon Takes Us Outside,valentines day 25 june 16th wednesday july 6th 20 0 20 15 martin luther king day june 18th june 6th wednesday august 18th 9th 1999 12 nicholas august wednesday 13th sunday 5th march october january october 13th wednesday martin luther king day afternoon view nothing 20 0 1 late winter martin luther king day 12 16 august wednesday 13th friday 7 june,1. Outside,1995,0.0,1.0,0.0,0.0
Outside,tomorrow yesterday tomorrow happens today damage today fall today beat outside stand tomorrow happening tomorrow happening crazed hot zone mental diva hands fisting life music outside music outside happens outside music outside happening outside music outside happening tomorrow yesterday tomorrow music outside happening outside music outside music outside outside outside outside,1. Outside,1995,0.088,0.912,0.0,-0.5719
The Hearts Filthy Lesson,heart filthy lesson heart filthy lesson heart filthy lesson always diamond friendly sitting laugh motel heart filthy lesson hundred miles hell ramona something us something us clothes something skies something skies something blood something skies paddy paddy wearing miranda clothes heart filthy lesson heart filthy lesson heart filthy lesson falls upon deaf ears heart filthy lesson heart filthy lesson heart filthy lesson heart filthy lesson falls upon deaf ears heart filthy lesson falls upon deaf ears heart filthy lesson heart filthy lesson heart filthy lesson ramona kind future ramona kind future cerulean skies something skies something skies something blood something skies paddy paddy paddy carry think lost way heart filthy lesson heart filthy lesson already five years older already grave already heart filthy lesson heart filthy lesson already already heart filthy lesson heart filthy lesson carry paddy think lost way paddy fantastic death abyss paddy fantastic death abyss heart filthy lesson heart filthy lesson tell others heart filthy lesson heart filthy lesson paddy fantastic decade tell others heart filthy lesson heart filthy lesson paddy fantastic death abyss heart filthy lesson heart filthy lesson tell others,1. Outside,1995,0.105,0.758,0.136,0.7845
A Small Plot of Land,poor soul spit upon poor soul never knew hit hit poor dunce pushed back pigmen barbs laughed fool dead poor dunce less within us brains talk live dead prayer travel far days talk life standing near innocent eyes poor dunce swings tunnels claws way small life manic really days poor soul spit upon poor soul never knew hit hit people spat upon poor soul poor soul poor soul,1. Outside,1995,0.421,0.525,0.054,-0.9892
Segue - Baby Grace (A Horrid Cassette),test testing testing hmmm grace name um phot fading photograph patch patchwork quilt put ramona put interest drugs thinking bit fast like brain hatch let see anybody want sometimes ask still hear pop popular musics aftershocks ahhh choo see watching television um homelands new homelands um remember want quiet think something going horrid,1. Outside,1995,0.055,0.728,0.217,0.802
Hallo Spaceboy,spaceboy sleepy silhouette stationary released custody calls want free want free like girls boys confusing days moondust cover cover chaos killing bye bye love bye bye love bye bye love bye bye love chaos killing hallo spaceboy sleepy silhouette stationary released custody calls want free want free like girls boys confusing days moondust cover cover chaos killing bye bye love bye bye love bye bye love bye bye love chaos killing cover bye bye love bye bye love bye bye love good time love sweet sweet dove bye bye spaceboy bye bye love moondust cover,1. Outside,1995,0.199,0.324,0.477,0.9938
The Motel,living safety zone holding back living hour hour take kind living recognises death odourless man nothing vanity nothing slow eden sham hell shame hell like old hell hell lights boys lights boys explosion falls upon deaf ears swimming sea sham living shadow vanity complex fashion simple man hell shame hell like old hell hell silence flies brief flight razor sharp crap shoot affair light lives exploding exposing like everybody exploding know use make somebody move exploding exploding,1. Outside,1995,0.425,0.441,0.134,-0.9918
I Have Not Been to Oxford Town,baby grace victim 14 years age wheels turning turning finger points well oxford town well oxford town toll bell pay private eye well 20th century dies prison priests decent attorney seems sincere fear days numbered lord get well oxford town well oxford town toll bell pay private eye well 20th century dies shadow wall flesh blood could wheels turning turning twentieth century dies ripped fabric time stood still met ramona paid bill well oxford town well oxford town toll bell pay private eye well 20th century dies bunk two sheets food though foul could toll bell pay private eye well 20th century dies toll bell pay private eye well 20th century dies well 20th century dies well well well toll bell pay private eye well 20th century dies toll bell pay private eye well 20th century dies,1. Outside,1995,0.11,0.644,0.246,0.9628
No Control,stay away future back away light deranged control sit tight corner tell god plans deranged control could control tomorrow haze darkest shore bother control web weave life lost falling leaves every single move uncertain tell god plans deranged control live life bended knee control destiny got scheme got plan world today tomorrow man control stay away future tell god plans deranged control forbidden words deafen memory control see far sinful man burn tracks bloody robes got scheme got plan world today tomorrow man live life bended knee control destiny control believe control deranged believe control deranged deranged deranged,1. Outside,1995,0.184,0.761,0.055,-0.9287
Segue - Algeria Touchshriek,name mr touchshriek touchshriek mail fantasy shop sells eggshells seashores empty females thinking leasing room shop mr walloff domburg reject world wide internet broken man also broken man would nice company could great conversations looking windows demons watching young advance electric houses around still inhabitants sure country get speak much anyone sort thing another broken man dream something like,1. Outside,1995,0.18,0.641,0.179,-0.0258
The Voyeur of Utter Destruction (as Beauty),turn turn turn turn shake stare sun til eyes burn shake mothers brutal vermin shake stare watery moon desire sober philistine shake turn turn worm pain blade turn turn screw tightening atrocity shake reeking flesh romantic hell need seen voyeur utter destruction beauty shake worm pain blade turn turn shake turn turn shake shake shake research pierced extremes sex call day call day needle point life blinds next call day research pierced extremes sex call day call day needle point life blinds next call day call day call day call day call day call day call day call day call day call day call day call day call day call today call today today today today today,1. Outside,1995,0.276,0.662,0.063,-0.9756
Segue - Ramona A. Stone / I Am with Name,ramona stone started enemies artiste tunnel midi life crisis dreaming sleep ape men metal parts spat upon deeply felt age hid hearts hate funny colored english creep together know small friends name name ramona stone night fear female good timing drone name name name name ramona stone say twitch stream end chrome night female good time drone name ramona stone say name ramona stone person loses name feels anxiety descending left crossroads centuries millennium fetish name name ramona stone name night fear female good timing drone name ramona stone give one time anxiety descending anxiety descending,1. Outside,1995,0.217,0.663,0.12,-0.8678
Wishful Beginnings,cruising around flames burn body wishful beginnings remind sorry little girl sorry little girl please hide pain must feel like snow sorry little girl sorry little girl please hide kiss bite shame burns breathing breathing breathing doubt pain must feel like snow longer golden boy sorry little girl sorry little girl pain must feel like snow go cover cover flew wings deep dead air one never go wishful beginnings lived unbearable lives sorry little girl sorry little girl sorry little girl pain must feel like snow go,1. Outside,1995,0.323,0.532,0.145,-0.9304
We Prick You,white boys falling fires night wish tell wish tell flesh punks burning glue revolution comes strangest way wish tell wish tell rather inside tell truth tell truth tell truth prick prick prick tell truth tell truth tell truth prick prick prick show respect even disagree show respect show respect even disagree show respect mama kiss daddy tell wish well wish well innocence passed want screwing nightmare comes wish well wish well want come quick die tell truth tell truth tell truth prick prick prick tell truth tell truth tell truth prick prick prick show respect even disagree show respect show respect even disagree show respect little rose kissed foxy girls shoes shoes little white shoes flowers gone little fragile champion boys toys toys little black toys dripping end gun even disagree tell truth tell truth tell truth prick prick prick tell truth tell truth tell truth prick prick prick show respect even disagree show respect shoes shoes little white shoes wish well wish well even disagree even disagree toys toys little black toys wish well wish well even disagree shoes shoes little white shoes wish well wish well,1. Outside,1995,0.238,0.309,0.453,0.9957
I'm Deranged,funny secrets travel start believe bleed thin skies man chains hands held high cruise blond cruise babe blond belief beyond beyond beyond return return deranged deranged deranged cruise babe cruise baby rain sets angel man deranged cruise cruise cruise babe one never clutch life fist love head big deal salaam real deranged salaam reel deranged rain sets angel man deranged rain sets angel man deranged cruise cruise cruise babe deranged,1. Outside,1995,0.0,0.905,0.095,0.7964
Thru' These Architect's Eyes,living golden golden age living golden age golden age stomping along big philip johnson delay wasting time looking across richard rogers scheming dreams blow minds difficult see give baby leave job know know money day day majesty city landscape soaring days lives concrete dreams mind eye joy see thru architect eyes living golden golden age living golden age golden age cold winter bleeds girders babel stone boy watching crawling land rings flesh towers iron steaming caves rocks sand stomping along big philip johnson delay wasting time difficult see give baby summer scumholes goddamned starving life majesty city landscape soaring days lives concrete dreams mind eye joy see thru architect eyes living golden golden age living golden age golden age difficult see difficult see majesty city landscape soaring days lives concrete dreams mind eye joy see thru architect eyes,1. Outside,1995,0.159,0.71,0.131,-0.1531
Strangers When We Meet,friends seem thin frail slinky secrets hotter sun peachy prayers trendy réchauffé go violence raining tears upon sheets bewildered strangers meet blank screen tv preening snow forget name blended sunrise dying world humming rheingold scavenge clothes violence raging tears upon sheets resentful strangers meet cold tired fingers tapping memories halfway sadness dazzled new embrace feared whirling room trade vendu steely resolve falling poor soul poor bruised passivity regrets ran rough shod glad strangers meet thankful strangers meet clover strangers meet heel head strangers meet strangers meet strangers meet strangers meet strangers meet strangers meet strangers meet strangers meet strangers meet strangers meet,1. Outside,1995,0.289,0.604,0.107,-0.9719
Get Real,pity us angels lead dead sick hanging thread get real get real stop meaningful teenage cries deep behind fifty year old eyes get real get real scared touch tense undone walk streets expecting morning sun voice doom failures fall town guess feel get real get real happened around went get real get real think happens happens tunnel let feel get real get real scared touch tense undone walk streets expecting morning sun feel breakdowns falling town feel guess get real get real get real get real dazzle light rape life seed curse jazz life get real get real get real get real,1. Outside,1995,0.314,0.669,0.018,-0.9887
Nothing To Be Desired,walloff english editorial apparatus cd rom leaves nothing desired nothing desired nothing desired nothing desired leaves nothing desired nothing desired nothing nothing nothing desired dishy nothing nothing nothing dishy nothing desired nothing desired nothing desired nothing desired nothing nothing desired mind changing mind changing mind changing change mind changing mind changing change mind changing mind changing stand mind changing mind changing stand mind changing mind changing nothing desired nothing desired nothing nothing desired dishy nothing desired nothing desired nothing nothing desired mind changing mind changing desired change mind changing changing mind changing changing change mind changing changing mind changing changing change mind changing changing mind changing changing change mind changing changing mind change changing change mind change changing,1. Outside,1995,0.258,0.742,0.0,-0.97
Buddha of Suburbia,living lies railway line pushing hair eyes elvis english climbs hills tell bullshit lies screaming along south london vicious ready learn sometimes fear whole world queer sometimes always vain wait sane wait blessed full blood loving life got give englishmen going insane knees suburbia every way great expectations change clothes grumble silver gold screaming central london never bored never get old wait sane wait blessed full blood loving life got give englishmen going insane knees suburbia every way day day day day zane zane zane ouvre le chien day day day zane zane zane ouvre le chien day,The Buddha of Suburbia,1993,0.213,0.607,0.18,-0.3582
Sex and the Church,though idea compassion said union christ bride christian puzzling sex church sex church sex church church church great mystic religions put strong emphasis redeeming spiritual qualities sex sex christianity pretty modern sex sex sex sex sex sex church sex church sex church sex sex think union flesh spirit sex church sex church religions mother give freedom spirit joys flesh sex sex sex church give freedom spirit joys flesh sex sex sex church sex church sex church sex church church church sex sex sex church sex church sex church sex sex sex church sex church sex church church church sex sex sex church sex church sex church sex sex sex sex church sex church sex church sex sex love love,The Buddha of Suburbia,1993,0.0,0.717,0.283,0.9911
"Bleed Like a Craze, Dad",shine shine shine shine shine shine shine shine shine shine shine shine shine shine shine shine shine shine bleeds like craze dad craze easy come come gotta back valley dead man walks drank jazz astral kestrel fed featherfall fed pedestal carving never get shine shine shine bleed like craze dad craze shine shine shine bleed like craze dad craze never stopped think hollywood king kong domino side street light looking right looking parlous parlours party dead put net headache shine shine shine shine shine shine shine shine shine blee eed bleed like craze dad craze living movie shirley charley films film come together party footnote footstone shine shine shine bleeds like craze dad craze shine shine shine shine shine shine bleed like craze dad craze bleed like craze dad craze bleed like craze dad craze bleed like craze dad craze bleed like craze dad craze bleed like craze dad craze,The Buddha of Suburbia,1993,0.228,0.577,0.195,0.567
Dead Against It,drowns within fizzy gin begins sigh good god cry die lie beside apple eye talked god cope hope eloped dope roped salty lie dreaming believe reading retreat believe telling dead telling dead deep wound within every second chance thy tore deep within despite rain words worn loves talk phone matter matter matter better faulty line dreaming believe reading retreat believe telling dead telling dead,The Buddha of Suburbia,1993,0.296,0.419,0.284,-0.881
Untitled No. 1,mornings regal valley sighs chilly sea killed real slows swimming farther doll sides fill cup sleepy souls shimi kapoor clear things never take shimi kapoor please steal tears shimi kapoor feel like tea make laugh along feats like sex brought upon ooh lady ooh baby maybe live lies alone jesus hear shimi kapoor clear things never take shimi kapoor please steal tears shimi kapoor shimi kapoor shimi kapoor shimi kapoor shimi kapoor please heal tears shimi kapoor clear things never take shimi kapoor clear things never shimi kapoor please steal tears shimi kapoor things never shimi kapoor never never,The Buddha of Suburbia,1993,0.2,0.588,0.213,0.1779
Buddha of Suburbia (feat. Lenny Kravitz) (Ft. Lenny Kravitz),living lies railway line pushing hair eyes elvis english climbs hills tell bullshit lies screaming along south london vicious ready learn sometimes fear whole world queer sometimes always vain wait sane wait blessed full blood loving life got give englishmen going insane knees suburbia every way great expectations change clothes grumble silver gold screaming central london never bored never get old wait sane wait blessed full blood loving life got give englishmen going insane knees suburbia every way day day day day zane zane zane ouvre le chien day day day zane zane zane ouvre le chien day,The Buddha of Suburbia,1993,0.213,0.607,0.18,-0.3582
You've Been Around,pain violent night depressed grin stay many years thought love money like black hearted violin nature many lonely nights tell bad wrong pass exchanging around changed flesh meets spirit world traffic thin slip vacant view thought sound tomorrow like black hearted vile thing like silence tension many lonely nights tell good bad pass exchanging around changed around pass around changed ch ch ch ch ch ch change exchanging around changed around pass,Black Tie White Noise,1993,0.301,0.517,0.182,-0.9274
I Feel Free (Ft. Mick Ronson),feel free feel free feel free dear dance move like sea want know feel free feel free walk street one pavement one huge crowd drive road eyes see mind wants cry loud feel free walk street one pavement one huge crowd drive road eyes see mind wants cry loud mind wants cry loud feel free feel free feel free feel free feel free dance floor like sea ceiling sky sun shine feel free feel free feel free,Black Tie White Noise,1993,0.076,0.439,0.485,0.9933
Black Tie White Noise (Ft. Al B. Sure!),getting facts benetton ad looking african eyes lit glare l fire black tie white noise got face race bang bang got babe putting black tie cranking white noise sun comes man goes woman comes hour safe fear black tie white noise jump hoops divisible disappear putting black tie cranking white noise reach race hold hands die flames singing shall overcome going blood doubt come doubt look eyes know kill look eyes know kill kill kill look eyes wonder sometimes putting black tie cranking white noise lord let see lord lordy let hear let call brother let put arms around let put hands together reach race hold hands walk night thinking world going blood doubt shall come doubt look eyes know kill turn back know kill kill kill wonder yes wonder sometimes putting black tie cranking white noise show us break rules never make rules reduce us witless punks black tie white noise fascist cries black white got blood got gun putting black tie cranking white noise cranking cranking cranking white noise cranking cranking putting black tie cranking white noise,Black Tie White Noise,1993,0.294,0.672,0.034,-0.9963
Jump They Say,comes shaking man nation eyes striped blood emblazed tattoo streaking cathedral spire say say say brain say mood say born say look climb say jump say jump say two gods say fear say eyes say mouth say really something feel get time say watch ass friend listen crowd say jump say jump watch watch watch say really something feel get time say watch ass friend listen crowd say jump got believe somebody say jump jump got believe somebody say jump jump got believe say jump got believe somebody jump got believe jump got believe somebody jump got believe jump got believe somebody jump say jump say jump say jump say jump,Black Tie White Noise,1993,0.097,0.852,0.052,-0.6705
Nite Flights,hold moving come danger brushing turns face heat runs tunnels cold dark dug dogs stiches torn broke raw meat fist choke hit bloodlite glass traps open close nite flights broken necks feather weights press walls love gods nite flights one promise one way fall glass traps open close nite flights broken necks feather weights press walls love gods nite flights one promise one way fall nite flights one way fall,Black Tie White Noise,1993,0.197,0.66,0.143,-0.5994
Pallas Athena,god top god top god top god top god top god praying god top praying praying god top god top god,Black Tie White Noise,1993,0.0,0.0,1.0,0.9847
Miracle Goodnight,burning love burning lives tried kinds working miracle goodnight future full empty knocking door ragged limbed hungry mama miracle skin tell turn around head tell make alright nobody dancing morning star beautiful yellow dime high spin round living room miracle goodnight evening flower alone puzzling capisce got death wish want little skin tell turn around head tell make right nobody dancing miracle goodnight breath tell turn around heart tell make right nobody dancing make believe wish sailor thousand miles wished future anywhere love morning sun love dreams love sound making love feeling skin corner eyes long forevermore never want say goodnight miracle goodnight skin tell turn around head tell make right nobody dancing miracle goodnight breath tell turn around heart tell make right nobody dancing make believe want know past want know real deal really want know less know better feel morning star beautiful yellow dime high spinning around little room miracle skin tell turn around moon tell make alright nobody dancing miracle goodnight breath tell turn around heart tell make right nobody dancing make believe skin tell turn around moon tell make right nobody dancing make believe skin tell turn around head tell make right nobody dancing miracle goodnight breath tell turn around heart tell make right nobody dancing make believe,Black Tie White Noise,1993,0.028,0.66,0.312,0.9973
Don't Let Me Down & Down,still keep love place hide way fall nowhere lie world wide sick tired telling let let know something wind crazy balance mind kind fool scared death tell sick tired telling let let still keep love made date destiny jog jog memory haunt mind fade away sick tired telling let let let sick tired telling still keep love place hide way fall nowhere lie world wide sick tired telling let let still keep love let sick tired telling let let let place hide way fall still keep love still keep love,Black Tie White Noise,1993,0.384,0.424,0.192,-0.9702
I Know It's Gonna Happen Someday,love wherever whatever lose faith know gonna happen someday please wait please wait wait lose faith say day never arrives never seemed far away know gonna happen someday please wait please wait wait lose faith please wait please wait please lose faith lose faith say day never arrives seems far away know gonna happen someday someday please wait,Black Tie White Noise,1993,0.152,0.438,0.411,0.9643
The Wedding Song,silver wings golden eyes floating clouds angel life dreaming alone feel someone listens angel life silver wings golden eyes floating clouds angel life heaven smiling heaven girl wedding gown going good like good boy going change ways angel life saints alive feel like saint alive mine eternity though never fly high smiling angel life magic angel life believe magic angel life magic angel life believe magic,Black Tie White Noise,1993,0.023,0.643,0.334,0.9766
Lucy Can't Dance,lucy know going going lucy look looking god exciting new ways say trust something days lucy dance noise knows noise lucy dance noise knows noise world explode recognize anyone still got thumb lucy dance noise knows noise pursuing frenzy ritz savoy sexual noise vicious chords offer joy live die blink eye well make dance dance noise lucy dance noise knows noise dance noise lucy know going going buy serial world died made material girl lucy dance noise knows noise spin lunatic lyric goes wrong guess put eggs postmodern song lucy dance noise knows noise shallow orb mugged reality simple words like love need live die blink eye still make dance dance noise lucy dance noise knows noise,Black Tie White Noise,1993,0.153,0.702,0.145,-0.3182
"Day In, Day Out",day day day day stay stay fade fade day hoo hoo day hoo hoo born handbag love left doorstep lacks backup nothing seems make dent going find money honey try pay rent kind protection everyone shouting day day day day stay stay fade fade day hoo hoo day hoo hoo first thing learns citizen things turn right usa someone rings bell going way stealing one good rush day day day day stay stay fade fade day hoo hoo day hoo hoo could use little money hanging arms like cheap suit got money honey side come little baby late night big town police shake day day stay fade hoo hoo day day stay fade day got ticket nowhere day going take train ride stay nobody knows knows name stay pocket home boy stay going take shotgun pow stay spin grail spin drug stay going make well aware stay angry girl day day day day stay stay fade fade fade day angels everywhere day suddenly shooting day shooting video drugs bullets promises day angels ton sound day day day day day stay day fade fade day fade day ha day fade day fade fade day hoo hoo day hoo hoo day day day day day day day day hoo hoo,Never Let Me Down,1987,0.044,0.867,0.088,0.875
Time Will Crawl,time crawl never sailed sea would challenge giant could take church til twenty first century lose know government man blind moon saw sun night took top gun pilot made fly hole til grew real old never came flew till burst time crawl til mouths run dry time crawl til feet grow small time crawl til tails fall time crawl til twenty first century lose saw black black stream full white eyed fish drowning man eyes felt warm warm breeze melted metal steel got bad migraine lasted three long years pills took made fingers disappear time crawl time crawl time crawl til twenty first century lose go time crawl time crawl talented child came live town never bothered scream mask went smelt gas lay sleep time crawl heads bowed time crawl eyes fall time crawl streets run red time crawl til twenty first century lose mouths run dry time crawl feet grow small time crawl tails fall time crawl til twenty first century lose heads bowed time crawl eyes fall time crawl streets run red time crawl til twenty first century lose time crawl crazy child time crawl give every life til twenty first century lose crackpot notion,Never Let Me Down,1987,0.142,0.794,0.064,-0.9544
Beat of Your Drum,photograph king watches go fashions may change heaven knows still leave stain go colours may fade seasons may change weather blows still leave mark wrong negative fades never twain reckless tame like beat drum like look eyes like look things like beat drum like smell flesh like dirt dish like clothes wear like beat drum beat beat beat feel disco brat follow pack watching peel heaven knows prison hold greedy intention go picture music may change hi di ho keen follow nose wrong love tune sweet night bright light destroys like beat drum like look eyes like look things like beat drum like smell flesh like dirt dish like clothes wear like beat drum beat beat beat beat like beat drum like beat drum like face crowd like beat drum beat beat beat beat beat beat beat like beat drum like beat drum like yell loud like beat drum beat beat beat beat beat beat beat loud beat crowd beat beat beat beat,Never Let Me Down,1987,0.114,0.531,0.355,0.9936
Never Let Me Down,believed nothing called name trapped high dollar joint place called name though days slipping nights cruel thought die danced little dance til made cry shaking like honey needed soul revival called name falling pieces screamed pain soothing hand turned round love real swept danced little dance til made cry shaking like honey never let never let never let never let faith failing call name got nothing coming call name strong takes cover head bad stuff breaks dance little dance til makes smile shaking like honey never let never let never let never let,Never Let Me Down,1987,0.244,0.54,0.217,-0.3724
Zeroes,arrived land thousand different names fabulous sons crashed planes flames tomorrow back claiming redemption heels toothless past asking feels little red corvette driven fair weather heart fallen rainy day girl feeling tells world spinning round say dream nobody else tonight zeroes singing hi walk home today got get forgive forget something good happening know know back trial today breaking wine hell true someone timed heart stopping preaching letting love moon sun heaven knows tonight zeroes singing yes tonight zeroes singing tonight zeroes singing matter try matter matter matter try matter matter matter try go matter matter matter really matter matter matter matter matter matter matter matter matter matter matter matter matter matter matter matter matter really matter matter matter matter matter matter matter matter matter,Never Let Me Down,1987,0.093,0.474,0.433,0.9552
Glass Spider,one century ago lived zi duang province eastern country glass like spider devoured prey would drape skeletons web weeks creating macabre shrine remains web also unique many layers like floors building top palace like place assembled almost apparent care tiny shining objects glass beads dewdrops one could almost call altar breeze blew construction produced sounds wailing crying tiny wails tiny cries baby spiders would get scared search frantically mother glass spider would long gone known babies would survive somehow glass spider blue eyes almost like human shed tears wintered turn centuries hear wasted cry life mommy come back water gone seen heaven anyone hell mommy come back dark hoho hoho take care take care mommy come back water gone somewhere glows divine somewhere wakes alone promised loving eye god dark mommy come back dark ja ja ja ja ja ja ja ja ja ja ja ja ja ja ja gone gone water gone mommy come back cause water gone stay low ground fire drive savage afraid spitting dawn come along animals awake gone gone water gone mommy come back dark run run moving night rivers left mama love riverbed might gone gone water gone mommy come back cause water gone ja ja ja ja ja ja ja ja ja ja gone gone water gone mommy come back cause water gone gone gone water gone mommy come back cause water gone gone gone water gone mommy come back cause water gone mommy come back dark hoho hoho mommy come back cause water gone ja ja ja ja ja ja ja ja ja ja mommy come back dark ja ja ja ja ja ja ja ja ja ja mommy come back cause water gone ja ja ja ja ja ja ja ja ja ja mommy come back dark ja ja ja ja ja ja ja ja ja ja hoho hoho,Never Let Me Down,1987,0.094,0.788,0.119,0.8387
Shining Star (Makin' My Love) (Ft. Mickey Rourke),eddie boy lit like paraffin spending two weeks crack house burns brain like chernobyl dean seen two bag purchase lying dead mother bed someone pray met life like broken arrow memory swinging door could great misfortune make happy every day life making love like shining star taking love touch far tessie turns tricks soul like ice love left holes four swell kids breaking heart got windows seen much vice touched vermin cowardice lice say nobody cares please death could great misfortune never find bet never find better man making love like shining star taking love touch far peter met frank formed dummy run gang worked heist hit 10 g flat blew heads shape name trotsky sinn fein hitler cashdown hope heroes cover page debts hell fingers blood poor little bodies covered scabs threw away another life grave life grave life like broken arrow memory swinging door could great misfortune well could make happy every goddamn single day life making love like shining star like shining star like shining star making love making love like shining star like shining star taking love taking love touch far touch far making love making making making love like shining star like shining star taking love making love touch far touch uh far making love making love like shining star huh like shining star taking love taking love touch far touch uh far making love mmm like shining star mmhmm taking love mmhmm,Never Let Me Down,1987,0.1,0.47,0.43,0.999
New York's in Love,see thing thing sure love love would one thing new york love city grew wings back night clouds stuck like candy floss sees rich trash fun makes wonder get energy nothing city clean waiting mean wait long joint get much higher new york love big green eyes long blonde hair new york flames new york love way talks talks talks way walks new york love goo goo goo goo goo goo tom tom beat one knows day dance see singles swing everybody waiting go go boys turned stone family dead speak living nothing left raging blaze mean wait long new york love big green eyes long blonde hair new york flames new york love way talks way walks walk walk new york love goo goo goo goo goo goo pretty picture new york new york ugly side new york love new york love new york flames new york love new york new york,Never Let Me Down,1987,0.056,0.613,0.331,0.996
'87 and Cry,one dollar secret lover secrets uk torn apart uk dribble may day 87 cry 87 cry nothing inside nothing mind rocket sky well done without dogs without us 87 cry 87 cry days days days boys blue ties biggy guys frannie dressing enemy saw hanging enemy one love nowhere scream race wonder well done without dogs without us 87 cry 87 cry make love money make mistakes babies nothing looked good liked best ready real mccoy deep heart cupid murders heels love ghost story one dollar secret baby sounds baby sounds whisper things true well done without dogs well without us 87 cry 87 cry 87 cry 87 cry cry cry 87 cry 87 cry cry cry 87 cry 87 cry cry cry cry cry 87 cry 87 cry cry cry cry cry 87 cry 87 cry cry cry cry cry 87 cry 87 cry cry cry cry cry 87 cry 87 cry,Never Let Me Down,1987,0.545,0.325,0.13,-0.9988
Too Dizzy,much talking night drive much mist front eyes trying lose control pushing pushing pushing fight look trapped turn radio much smoke air conditioning gone helpless love looking looking looking break love guy going blow away ay kind love giving mma dizzy trying say said dizzy lover dizzy bad loser shaking anger mma dizzy lover go dreaming every night letting sight ten times man guy around itching twitching itching break much talking night drive much mist front eyes helpless love looking looking looking break love guy going blow away kind love giving imma dizzy trying say said dizzy lover dizzy bad loser shaking anger said dizzy lover said dizzy come harder said dizzy come closer said dizzy said dizzy dizzy dizzy dizzy dizzy lover dizzy dizzy dizzy,Never Let Me Down,1987,0.359,0.376,0.265,-0.5574
Bang Bang,right thing let let go young girls know young girls kiss goodbye rockets shooting space buildings rise skies bang bang got mine bang bang reach sky keep good friend videotape drive sports car late hot time town tonight love bet best yet bang bang got mine bang bang sun shine bang bang angels bang bang oughta pictures girl girl problems follow phone calls take machine wander lonely sea lonely ha ha ha mean bang bang got mine bang bang next line bang bang reach sky bang bang sun shine rise buildings rise sky well uh young girls know said young girls kiss goodbye bang bang closed closed closed bang bang come first bang bang prayers wings bang bang next line,Never Let Me Down,1987,0.053,0.728,0.219,0.9678
Loving the Alien,watching come go templars saracens travelling holy land opening telegrams torture comes torture goes knights give anything bear cross coeur de lion salvation mirror blind pray sins hooked upon sky pray heathen lie disappear prayers hide saddest view believing strangest things loving alien prayers break sky two believing strangest things loving alien thinking different time palestine modern problem bounty wealth land terror best laid plan watching come go tomorrows yesterdays christians unbelievers hanging cross nail pray sins hooked upon sky pray heathen lie disappear prayers hide saddest view believing strangest things loving alien prayers break sky two believing strangest things loving alien pray til break dawn believing strangest things loving alien believe loving alien believing strangest things loving alien believing strangest things loving alien,Tonight,1984,0.206,0.522,0.272,0.936
Don't Look Down,look making sort crazy sounds look know else came kneel empty battlefield hear crazy sound look central park shanty town always hear crazy sound new york shanty town always something else look went morning cemetery see old rudy valentino buried lipstick traces name hear crazy sound look central park shanty town always hear crazy sound new york shanty town always something else look see standing see clothes wear hear crazy sound look central park shanty town always hear crazy sound new york shanty town always something else look bored look life piece cake hear crazy sound look central park shanty town always hear crazy sound new york shanty town always something else look,Tonight,1984,0.218,0.782,0.0,-0.9723
God Only Knows,ever leave life would still go believe world could show nothing good would living god knows without may always love long stars never need doubt make sure god knows without,Tonight,1984,0.181,0.596,0.223,0.162
Tonight (Ft. Tina Turner),1 contributortonight tina turner 1999 remastered version lyricseverything alright tonight everything alright tonight one moves one talks one thinks one walks tonight tonight everyone alright tonight everyone alright tonight one moves one talks one thinks one walks tonight tonight gonna love till end love till reach end love till die see sky tonight,Tonight,1984,0.057,0.627,0.316,0.9413
Neighborhood Threat,paint cracking look backstairs buddy somebody living really feel weather share pleasures share pleasures look eyes see crazy eyes surprised run catch ash everybody always wants kiss trash help nobody knows nothing get still place bet neighborhood threat somewhere baby bleeding somewhere mother needing outside boy lying mostly crying shouts anger find interesting look eyes see crazy eyes surprised build everybody always wants run,Tonight,1984,0.204,0.544,0.252,0.3242
Blue Jean,blue jean met girl named blue jean blue jean got camouflaged face money remember always let need em blue jean heaven sweeter blue jean got police bike got turned nose sometimes feel like whole human race jazzin blue jean blue jean blue blue jean send somebody send somebody send somebody send one day gonna write poem letter one day gonna get faculty together remember like everybody wait line blue jean look world know got mine got latin roots got everything sometimes feel like whole human race jazzin blue jean blue jean blue blue jean tempt somebody send somebody sent somebody send hook sometimes feel like whole human race jazzin blue jean blue jean blue blue jean tempt somebody send somebody sent somebody send somebody somebody somebody send somebody send somebody send,Tonight,1984,0.0,0.905,0.095,0.9062
