Song_Name,Song_Lyrics,Album_Name,Album_Year,Negative,Neutral,Positive,Compound
If You Can See Me,see see could wear new blue shoes wear old red dress walk crossroad take knife meet across river chutes ladders kiss american anna fantasticalsation nowhere nothing neither way back children swarm like thousands bugs towards light beacons hill stars west south north east say got gift sorts fear rear windows swinging doors love violence tenants sighs see see see see seen bairns wave fists god swear destroy beast stamping ground excitement tomorrow wear old red dress walk crossroad take knife meet across river take lands lays beneath dust cold flowers drizzle dark ashes slaughter kind descend belief spirit greed lord theft burn books problems make see see see,The Next Day,2013,0.13,0.7,0.17,0.6597
I'd Rather Be High,nabokov sun licked upon beach grunewald brilliant naked way authors look clare lady manners drink cows go home gossip till lips bleeding politics rather high rather flying rather dead head training guns men sand rather high thames black tower dark flew cairo find regiment city full generals generals full shit stumble graveyard lay parents whisper remember duckies everybody gets got rather high rather flying rather dead head training guns men sand rather high seventeen looks prove afraid lose rather smoke phone ex pleading teenage sex rather high rather flying rather dead head training guns men sand rather high,The Next Day,2013,0.198,0.77,0.033,-0.9601
Boss of Me,tell sad wanna make cool know feeling bad tell cool ever thought ever dreamed small town girl like would boss fly night tears lips life mind soul spins hips ever thought ever dreamed ever thought ever dreamed small town girl like would boss would boss would boss looked weeped free blue sky look stars flicker float eyes wings steel small town dies ever thought ever dreamed ever thought ever dreamed small town girl like would boss would ever thought would ever dreamed small town girl like would boss would boss would boss,The Next Day,2013,0.078,0.744,0.178,0.836
Dancing Out in Space,cutting water hands upon ghost city solid iron kingdom boats send friend away let sail back home tonight something like religion dancing face face something like drowning dancing space baby one see dancing face face one beat dancing space baby silent georges rodenbach mist silhouette girl move like water got stars upon head got name number got take floor something like religion dancing face face something like drowning dancing space baby one see dancing face face one beat dancing space baby dancing face face dancing space baby dancing face face dancing space baby dancing face face dancing space,The Next Day,2013,0.034,0.797,0.168,0.9153
How Does the Grass Grow?,graveyard station girls wear vinyl skirts sandals hungary boys ride riga 1s upon little hills sadness grief kids die standing made tryst struggled guns would still love clocks could go backwards girls would fill blood grass green remember dead great grass grow blood blood blood boys lie mud mud mud grass grow blood blood blood well lived blind life white face prison made life nothing ride black roads miss never ever know waiting red eyes stone heart grass grow blood blood blood boys lie mud mud mud grass grow blood blood blood gaze defeat stars night light life burnt away tomorrow sigh sleep meaning returns day boys lie mud mud mud grass grow blood blood blood,The Next Day,2013,0.203,0.716,0.081,-0.9473
(You Will) Set the World on Fire,midnight village seeger lights candles bitter end gaslight baez leaves stage ochs takes notes black girl guitar burn together hot rage got takes say much set world babe set world fire work scene see magazines hear nation hear nation cry set world babe set world fire set fire kennedy would kill lines written van ronk says bobby next real thing crouched half light screaming like banshee boat babe water say much set world babe set world fire work scene see magazines hear nation hear nation cry set world babe set world fire set fire set world babe set world fire work scene see magazines hear nation hear nation cry set world babe set world fire set fire set world babe set world fire work scene see magazines hear nation hear nation cry set world babe set world fire set fire,The Next Day,2013,0.311,0.675,0.014,-0.9933
You Feel So Lonely You Could Die,one ever saw moving dark leaving slips paper somewhere park hidden friends stealing knew love thrown airless rooms vile rewards gonna tell yes gotta tell gotta tell things said talking dark gonna tell things done walking park night thriller street come silent gun got dangerous heart stole trust moon sun come assassin needle crowded train bet feel lonely could die buildings crammed people landscapes filled wrath gray concrete city rain wet street want see clearly close door room bloody history made sure see corpse hanging beam could read like book feel falling hear moaning room see care please please make soon walls got cornered got blues friend people like leave without sound without end oblivion shall death alone shall love hope feel lonely could die feel lonely could die feel lonely could die,The Next Day,2013,0.287,0.478,0.235,-0.8885
Heat,saw mishima dog trapped rocks blocking waterfall songs dust world would end night always falling peacock snow tell know tell know father ran prison father ran prison love hating truth big word believed love theft love war theft love tell know tell know father ran prison father ran prison seer liar seer liar father ran prison father ran prison,The Next Day,2013,0.407,0.405,0.189,-0.9643
So She,priceless man suffers gloom slow eyes stolen sleeping sky takes moon slow would slide away sea sea saw smile feeling like never saw smile feeling like never love feeling like never one alone one alone,The Next Day,2013,0.242,0.384,0.374,0.2987
I'll Take You There,today today 1st may everything around us everything lie hearts beating fast race dark past really good people told name usa hold hand take become usa hold hand take sophie lev running away days days gloom lev smile sophie sing mile future tomorrow king name usa hold hand take become usa hold hand take need know know safe world content get life eat drink sleep look stars name usa hold hand take become usa hold hand take,The Next Day,2013,0.066,0.657,0.277,0.9647
