Album_Year,Album_Name,Song_Name,Word
2016,★ (Blackstar),★ (Blackstar),upside
2016,★ (Blackstar),★ (Blackstar),star
2016,★ (Blackstar),★ (Blackstar),star
2016,★ (Blackstar),★ (Blackstar),born
2016,★ (Blackstar),★ (Blackstar),wrong
2016,★ (Blackstar),★ (Blackstar),way
2016,★ (Blackstar),★ (Blackstar),round
2016,★ (Blackstar),★ (Blackstar),white
2016,★ (Blackstar),★ (Blackstar),star
2016,★ (Blackstar),★ (Blackstar),blackstar
2016,★ (Blackstar),★ (Blackstar),gangstar
2016,★ (Blackstar),★ (Blackstar),blackstar
2016,★ (Blackstar),★ (Blackstar),blackstar
2016,★ (Blackstar),★ (Blackstar),pornstar
2016,★ (Blackstar),★ (Blackstar),wandering
2016,★ (Blackstar),★ (Blackstar),star
2016,★ (Blackstar),★ (Blackstar),blackstar
2016,★ (Blackstar),★ (Blackstar),blackstar
2016,★ (Blackstar),★ (Blackstar),villa
2016,★ (Blackstar),★ (Blackstar),ormen
2016,★ (Blackstar),★ (Blackstar),stands
2016,★ (Blackstar),★ (Blackstar),solitary
2016,★ (Blackstar),★ (Blackstar),candle
2016,★ (Blackstar),★ (Blackstar),centre
2016,★ (Blackstar),★ (Blackstar),eyes
2016,★ (Blackstar),★ (Blackstar),day
2016,★ (Blackstar),★ (Blackstar),execution
2016,★ (Blackstar),★ (Blackstar),women
2016,★ (Blackstar),★ (Blackstar),kneel
2016,★ (Blackstar),★ (Blackstar),smile
2016,★ (Blackstar),★ (Blackstar),centre
2016,★ (Blackstar),★ (Blackstar),eyes
2016,★ (Blackstar),★ (Blackstar),eyes
2016,★ (Blackstar),'Tis a Pity She Was a Whore,man
2016,★ (Blackstar),'Tis a Pity She Was a Whore,punched
2016,★ (Blackstar),'Tis a Pity She Was a Whore,like
2016,★ (Blackstar),'Tis a Pity She Was a Whore,dude
2016,★ (Blackstar),'Tis a Pity She Was a Whore,hold
2016,★ (Blackstar),'Tis a Pity She Was a Whore,mad
2016,★ (Blackstar),'Tis a Pity She Was a Whore,hands
